Position (m),GS Temperature (C)
950,0.001109
951,0.001102
952,0.001095
953,0.001088
954,0.001081
955,0.001074
956,0.001067
957,0.00106
958,0.001053
959,0.001046
960,0.00104
961,0.001033
962,0.001026
963,0.00102
964,0.001013
965,0.001006
966,0.0009999
967,0.0009934
968,0.000987
969,0.0009806
970,0.0009743
971,0.0009679
972,0.0009617
973,0.0009555
974,0.0009493
975,0.0009431
976,0.000937
977,0.0009309
978,0.0009249
979,0.0009189
980,0.000913
981,0.0009071
982,0.0009012
983,0.0008954
984,0.0008896
985,0.0008838
986,0.0008781
987,0.0008724
988,0.0008667
989,0.0008611
990,0.0008556
991,0.00085
992,0.0008445
993,0.000839
994,0.0008336
995,0.0008282
996,0.0008229
997,0.0008175
998,0.0008122
999,0.000807
1000,0.0008018
1001,0.0007966
1002,0.0007914
1003,0.0007863
1004,0.0007812
1005,0.0007761
1006,0.0007711
1007,0.0007661
1008,0.0007611
1009,0.0007562
1010,0.0007513
1011,0.0007465
1012,0.0007416
1013,0.0007368
1014,0.0007321
1015,0.0007273
1016,0.0007226
1017,0.0007179
1018,0.0007133
1019,0.0007087
1020,0.0007041
1021,0.0006995
1022,0.000695
1023,0.0006905
1024,0.000686
1025,0.0006816
1026,0.0006772
1027,0.0006728
1028,0.0006684
1029,0.0006641
1030,0.0006598
1031,0.0006555
1032,0.0006513
1033,0.0006471
1034,0.0006429
1035,0.0006387
1036,0.0006346
1037,0.0006305
1038,0.0006264
1039,0.0006223
1040,0.0006183
1041,0.0006143
1042,0.0006103
1043,0.0006064
1044,0.0006024
1045,0.0005985
1046,0.0005947
1047,0.0005908
1048,0.000587
1049,0.0005832
1050,0.0005794
1051,0.0005757
1052,0.0005719
1053,0.0005682
1054,0.0005645
1055,0.0005609
1056,0.0005573
1057,0.0005536
1058,0.0005501
1059,0.0005465
1060,0.000543
1061,0.0005394
1062,0.000536
1063,0.0005325
1064,0.000529
1065,0.0005256
1066,0.0005222
1067,0.0005188
1068,0.0005155
1069,0.0005121
1070,0.0005088
1071,0.0005055
1072,0.0005022
1073,0.000499
1074,0.0004958
1075,0.0004926
1076,0.0004894
1077,0.0004862
1078,0.000483
1079,0.0004799
1080,0.0004768
1081,0.0004737
1082,0.0004707
1083,0.0004676
1084,0.0004646
1085,0.0004616
1086,0.0004586
1087,0.0004556
1088,0.0004527
1089,0.0004497
1090,0.0004468
1091,0.0004439
1092,0.0004411
1093,0.0004382
1094,0.0004354
1095,0.0004325
1096,0.0004297
1097,0.000427
1098,0.0004242
1099,0.0004215
1100,0.0004187
1101,0.000416
1102,0.0004133
1103,0.0004106
1104,0.000408
1105,0.0004053
1106,0.0004027
1107,0.0004001
1108,0.0003975
1109,0.0003949
1110,0.0003924
1111,0.0003898
1112,0.0003873
1113,0.0003848
1114,0.0003823
1115,0.0003798
1116,0.0003774
1117,0.0003749
1118,0.0003725
1119,0.0003701
1120,0.0003677
1121,0.0003653
1122,0.000363
1123,0.0003606
1124,0.0003583
1125,0.000356
1126,0.0003537
1127,0.0003514
1128,0.0003491
1129,0.0003468
1130,0.0003446
1131,0.0003423
1132,0.0003401
1133,0.0003379
1134,0.0003357
1135,0.0003336
1136,0.0003314
1137,0.0003293
1138,0.0003271
1139,0.000325
1140,0.0003229
1141,0.0003208
1142,0.0003187
1143,0.0003167
1144,0.0003146
1145,0.0003126
1146,0.0003106
1147,0.0003086
1148,0.0003066
1149,0.0003046
1150,0.0003026
1151,0.0003006
1152,0.0002987
1153,0.0002968
1154,0.0002948
1155,0.0002929
1156,0.000291
1157,0.0002891
1158,0.0002873
1159,0.0002854
1160,0.0002836
1161,0.0002817
1162,0.0002799
1163,0.0002781
1164,0.0002763
1165,0.0002745
1166,0.0002727
1167,0.000271
1168,0.0002692
1169,0.0002675
1170,0.0002657
1171,0.000264
1172,0.0002623
1173,0.0002606
1174,0.0002589
1175,0.0002572
1176,0.0002556
1177,0.0002539
1178,0.0002523
1179,0.0002506
1180,0.000249
1181,0.0002474
1182,0.0002458
1183,0.0002442
1184,0.0002426
1185,0.0002411
1186,0.0002395
1187,0.0002379
1188,0.0002364
1189,0.0002349
1190,0.0002334
1191,0.0002318
1192,0.0002303
1193,0.0002289
1194,0.0002274
1195,0.0002259
1196,0.0002244
1197,0.000223
1198,0.0002215
1199,0.0002201
1200,0.0002187
